periodo,tipo,ipc
2023-07-01,general,112.544
2023-06-01,general,112.354
2023-05-01,general,111.719
2023-04-01,general,111.773
2023-03-01,general,111.111
2023-02-01,general,110.703
2023-01-01,general,109.668
2022-12-01,general,109.899
2022-11-01,general,109.734
2022-10-01,general,109.866
2022-09-01,general,109.498
2022-08-01,general,110.265
2022-07-01,general,109.986
2022-06-01,general,110.267
2022-05-01,general,108.262
2022-04-01,general,107.375
2022-03-01,general,107.566
2022-02-01,general,104.403
2022-01-01,general,103.567
2021-12-01,general,103.965
2021-11-01,general,102.738
2021-10-01,general,102.425
2021-09-01,general,100.575
2021-08-01,general,99.743
2021-07-01,general,99.292
2021-06-01,general,100.046
2021-05-01,general,99.572
2021-04-01,general,99.105
2021-03-01,general,97.949
2021-02-01,general,97.008
2021-01-01,general,97.583
2020-12-01,general,97.574
2020-11-01,general,97.367
2020-10-01,general,97.208
2020-09-01,general,96.7
2020-08-01,general,96.555
2020-07-01,general,96.511
2020-06-01,general,97.385
2020-05-01,general,96.938
2023-07-01,alimentos,125.193
2023-06-01,alimentos,124.245
2023-05-01,alimentos,123.935
2023-04-01,alimentos,123.474
2023-03-01,alimentos,123.144
2023-02-01,alimentos,121.849
2023-01-01,alimentos,119.498
2022-12-01,alimentos,119.044
2022-11-01,alimentos,117.185
2022-10-01,alimentos,116.61
2022-09-01,alimentos,114.017
2022-08-01,alimentos,113.481
2022-07-01,alimentos,112.95
2022-06-01,alimentos,112.609
2022-05-01,alimentos,110.658
2022-04-01,alimentos,109.328
2022-03-01,alimentos,105.729
2022-02-01,alimentos,104.47
2022-01-01,alimentos,103.593
2021-12-01,alimentos,102.903
2021-11-01,alimentos,101.609
2021-10-01,alimentos,101.013
2021-09-01,alimentos,99.704
2021-08-01,alimentos,99.76
2021-07-01,alimentos,99.493
2021-06-01,alimentos,99.699
2021-05-01,alimentos,99.706
2021-04-01,alimentos,99.281
2021-03-01,alimentos,98.986
2021-02-01,alimentos,98.953
2021-01-01,alimentos,98.891
2020-12-01,alimentos,98.049
2020-11-01,alimentos,98.407
2020-10-01,alimentos,99.329
2020-09-01,alimentos,97.983
2020-08-01,alimentos,97.905
2020-07-01,alimentos,97.815
2020-06-01,alimentos,98.636
2020-05-01,alimentos,98.943
